Description,UPC,Store,LOOKUP,CAT,"In Set, LTO, Sub",SOUTH VENDOR,S VIN,NORTH VENDOR,N VIN,Comments
RED BULL 12OZ,611269818994,21,RED BULL 12OZ21,PB,,RED BULL,RB4816,RED BULL,RB4816,
RED BULL 12OZ 4PK,611269263732,21,RED BULL 12OZ 4PK21,PB,,RED BULL,3732,RED BULL,3732,
RED BULL 17OZ,611269546019,21,RED BULL 17OZ21,PB,,RED BULL,RB33049,RED BULL,RB33049,
RED BULL 2026 LTO 12 OZ,LTO,21,RED BULL 2026 LTO 12 OZ21,PB,LTO,RED BULL,-,RED BULL,-,
RED BULL 2026 LTO 8.4 OZ,LTO,21,RED BULL 2026 LTO 8.4 OZ21,PB,LTO,RED BULL,-,RED BULL,-,
RED BULL 2026 LTO SF 12OZ,LTO,21,RED BULL 2026 LTO SF 12OZ21,PB,LTO,RED BULL,-,RED BULL,-,
RED BULL 2026 LTO SF 8.4OZ,LTO,21,RED BULL 2026 LTO SF 8.4OZ21,PB,LTO,RED BULL,-,RED BULL,-,
RED BULL 20OZ,611269133448,21,RED BULL 20OZ21,PB,,RED BULL,RB36463,RED BULL,RB36463,
RED BULL 8OZ,611269991000,21,RED BULL 8OZ21,PB,,RED BULL,RB1718,RED BULL,RB1718,
RED BULL COCONUT 12OZ,611269321210,21,RED BULL COCONUT 12OZ21,PB,,RED BULL,RB221027,RED BULL,RB221027,
RED BULL COCONUT 8OZ,611269281361,21,RED BULL COCONUT 8OZ21,PB,,RED BULL,RB224254,RED BULL,RB224254,
RED BULL JUNEBERRY 12OZ,611269001648,21,RED BULL JUNEBERRY 12OZ21,PB,,RED BULL,RB242607,RED BULL,RB242607,
RED BULL JUNEBERRY 8OZ,611269001624,21,RED BULL JUNEBERRY 8OZ21,PB,,RED BULL,RB240803,RED BULL,RB240803,
RED BULL PINK 12OZ,611269003123,21,RED BULL PINK 12OZ21,PB,,RED BULL,RB247584,RED BULL,RB247584,
RED BULL PINK 8OZ,611269003109,21,RED BULL PINK 8OZ21,PB,,RED BULL,RB247586,RED BULL,RB247586,
RED BULL SF 12OZ,611269716467,21,RED BULL SF 12OZ21,PB,,RED BULL,RB4817,RED BULL,RB4817,
RED BULL SF 17OZ,611269546026,21,RED BULL SF 17OZ21,PB,,RED BULL,RB33673,RED BULL,RB33673,
RED BULL SF 20OZ,611269133455,21,RED BULL SF 20OZ21,PB,,RED BULL,RB36464,RED BULL,RB36464,
RED BULL SF 8OZ,611269101713,21,RED BULL SF 8OZ21,PB,,RED BULL,RB2746,RED BULL,RB2746,
RED BULL SF JUNEBERRY 12OZ,611269002263,21,RED BULL SF JUNEBERRY 12OZ21,PB,,RED BULL,RB245893,RED BULL,RB245893,
RED BULL SF PINK 12OZ,611269003048,21,RED BULL SF PINK 12OZ21,PB,,RED BULL,RB247052,RED BULL,RB247052,
RED BULL SF VAN BERRY 12OZ,611269002447,21,RED BULL SF VAN BERRY 12OZ21,PB,,RED BULL,RB245812,RED BULL,RB245812,
RED BULL SF WHITE PEACH 12OZ,611269002768,21,RED BULL SF WHITE PEACH 12OZ21,PB,,RED BULL,RB2768,RED BULL,RB2768,
RED BULL SF WHITE PEACH 8OZ,611269002683,21,RED BULL SF WHITE PEACH 8OZ21,PB,,RED BULL,RB246687,RED BULL,RB246687,
RED BULL STRAW APRICOT 12OZ,611269001303,21,RED BULL STRAW APRICOT 12OZ21,PB,,RED BULL,RB240073,RED BULL,RB240073,
RED BULL VAN BERRY 12OZ,611269001846,21,RED BULL VAN BERRY 12OZ21,PB,,RED BULL,RB242816,RED BULL,RB242816,
RED BULL VAN BERRY 8OZ,611269001860,21,RED BULL VAN BERRY 8OZ21,PB,,RED BULL,RB242814,RED BULL,RB242814,
RED BULL WATERMELON 12OZ,611269332827,21,RED BULL WATERMELON 12OZ21,PB,,RED BULL,RB234435,RED BULL,RB234435,
RED BULL WATERMELON 8OZ,611269331240,21,RED BULL WATERMELON 8OZ21,PB,,RED BULL,RB234437,RED BULL,RB234437,
RED BULL WHITE PEACH 12OZ,611269002706,21,RED BULL WHITE PEACH 12OZ21,PB,,RED BULL,RB246683,RED BULL,RB246683,
RED BULL YELLOW 12OZ,611269113570,21,RED BULL YELLOW 12OZ21,PB,,RED BULL,RB203753,RED BULL,RB203753,
RED BULL ZERO 12OZ,611269623734,21,RED BULL ZERO 12OZ21,PB,,RED BULL,RB231390,RED BULL,RB231390,
RED BULL ZERO 8OZ,611269623727,21,RED BULL ZERO 8OZ21,PB,,RED BULL,RB231401,RED BULL,RB231401,
REIGN DREAMSICLE 16OZ,815154021906,21,REIGN DREAMSICLE 16OZ21,PB,,COKE,157135,COKE,157135,
REIGN GUMMY 16OZ,815154023269,21,REIGN GUMMY 16OZ21,PB,,COKE,410704,COKE,410704,
REIGN KIWI 12OZ,815154025515,21,REIGN KIWI 12OZ21,PB,,COKE,412187,COKE,412187,
REIGN RAINBOW SHERBERT 16OZ,815154021418,21,REIGN RAINBOW SHERBERT 16OZ21,PB,,COKE,411461,COKE,411461,
REIGN SOUR GUMMY 16OZ,815154025973,21,REIGN SOUR GUMMY 16OZ21,PB,,COKE,412591,COKE,412591,
REIGN WATERMELON GUMMY 16OZ,815154027014,21,REIGN WATERMELON GUMMY 16OZ21,PB,,COKE,413998,COKE,413998,
RIP IT CITRUS 16OZ,042200008646,21,RIP IT CITRUS 16OZ21,PB,,JPO,5730,GRIFFIN,60102,
RIP IT TRB MANDARIN 16OZ,042200007359,21,RIP IT TRB MANDARIN 16OZ21,PB,,JPO,5734,GRIFFIN,60107,
